author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,stems,keywords,final_list
Jose A. Del Real,"The need for such tools especially those that work quickly and simply has grown with the sheer intensity of wildfires in recent years, driven in part by climate change and by the spread of residential development. California suffered a devastating fire season… [+1666 chars]","As wildfires grow more intense, fire chiefs in Southern California are looking to big data and machine learning for help in managing fast-moving blazes.",https://static01.nyt.com/images/2019/06/21/us/00firedata-truck/00firedata-truck-facebookJumbo.jpg,2019-06-24,,Can ‘Big Data’ Help Fight Big Fires? Firefighters Are Betting on It,https://www.nytimes.com/2019/06/24/us/wildfires-big-data-california.html,"The need for such tools especially those that work quickly and simply has grown with the sheer intensity of wildfires in recent years, driven in part by climate change and by the spread of residential development. California suffered a devastating fire season… [+1666 chars]Can ‘Big Data’ Help Fight Big Fires? Firefighters Are Betting on ItAs wildfires grow more intense, fire chiefs in Southern California are looking to big data and machine learning for help in managing fast-moving blazes.","['The', 'need', 'for', 'such', 'tools', 'especially', 'those', 'that', 'work', 'quickly', 'and', 'simply', 'has', 'grown', 'with', 'the', 'sheer', 'intensity', 'of', 'wildfires', 'in', 'recent', 'years', 'driven', 'in', 'part', 'by', 'climate', 'change', 'and', 'by', 'the', 'spread', 'of', 'residential', 'development', 'California', 'suffered', 'a', 'devastating', 'fire', 'season', '1666', 'chars', 'Can', 'Big', 'Data', 'Help', 'Fight', 'Big', 'Fires', 'Firefighters', 'Are', 'Betting', 'on', 'ItAs', 'wildfires', 'grow', 'more', 'intense', 'fire', 'chiefs', 'in', 'Southern', 'California', 'are', 'looking', 'to', 'big', 'data', 'and', 'machine', 'learning', 'for', 'help', 'in', 'managing', 'fast', 'moving', 'blazes']",The need for such tool especially those that work quickly and simply ha grown with the sheer intensity of wildfire in recent year driven in part by climate change and by the spread of residential development California suffered a devastating fire season 1666 char Can Big Data Help Fight Big Fires Firefighters Are Betting on ItAs wildfire grow more intense fire chief in Southern California are looking to big data and machine learning for help in managing fast moving blaze,the need for such tool especi those that work quickli and simpli ha grown with the sheer intens of wildfir in recent year driven in part by climat chang and by the spread of residenti develop california suffer a devast fire season 1666 char can big data help fight big fire firefight are bet on ita wildfir grow more intens fire chief in southern california are look to big data and machin learn for help in manag fast move blaze,"['itas', 'wildfires', 'grow', 'fire', 'chiefs', 'part', 'big', 'data', 'work', 'quickly', 'devastating', 'season', '…', '[+', '1666', 'chars', 'grown', 'sheer', 'intensity', 'managing', 'fast', 'tools', 'especially', 'machine', 'learning', 'need', 'betting', 'residential', 'development', 'help', 'simply', 'firefighters', '‘', '’', 'fight', 'fires', 'southern', 'california', 'looking', 'moving', 'blazes', 'intense', 'spread', 'suffered', 'driven', 'recent', 'years', 'climate', 'change']",1
Science X staff,"Against a backdrop of long-term rises in temperature in recent decades, California has seen ever higher spikes in seasonal wildfires, and, in the last two years, a string of disastrous, record-setting blazes. This has led scientists, politicians and media to … [+5695 chars]","Against a backdrop of long-term rises in temperature in recent decades, California has seen ever higher spikes in seasonal wildfires, and, in the last two years, a string of disastrous, record-setting blazes. This has led scientists, politicians and media to …",https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/hires/2019/studybolster.jpg,2019-07-15,mashable,Study bolsters case that climate change is driving many California wildfires,https://phys.org/news/2019-07-bolsters-case-climate-california-wildfires.html,"Against a backdrop of long-term rises in temperature in recent decades, California has seen ever higher spikes in seasonal wildfires, and, in the last two years, a string of disastrous, record-setting blazes. This has led scientists, politicians and media to … [+5695 chars]Study bolsters case that climate change is driving many California wildfiresAgainst a backdrop of long-term rises in temperature in recent decades, California has seen ever higher spikes in seasonal wildfires, and, in the last two years, a string of disastrous, record-setting blazes. This has led scientists, politicians and media to …","['Against', 'a', 'backdrop', 'of', 'long', 'term', 'rises', 'in', 'temperature', 'in', 'recent', 'decades', 'California', 'has', 'seen', 'ever', 'higher', 'spikes', 'in', 'seasonal', 'wildfires', 'and', 'in', 'the', 'last', 'two', 'years', 'a', 'string', 'of', 'disastrous', 'record', 'setting', 'blazes', 'This', 'has', 'led', 'scientists', 'politicians', 'and', 'media', 'to', '5695', 'chars', 'Study', 'bolsters', 'case', 'that', 'climate', 'change', 'is', 'driving', 'many', 'California', 'wildfiresAgainst', 'a', 'backdrop', 'of', 'long', 'term', 'rises', 'in', 'temperature', 'in', 'recent', 'decades', 'California', 'has', 'seen', 'ever', 'higher', 'spikes', 'in', 'seasonal', 'wildfires', 'and', 'in', 'the', 'last', 'two', 'years', 'a', 'string', 'of', 'disastrous', 'record', 'setting', 'blazes', 'This', 'has', 'led', 'scientists', 'politicians', 'and', 'media', 'to']",Against a backdrop of long term rise in temperature in recent decade California ha seen ever higher spike in seasonal wildfire and in the last two year a string of disastrous record setting blaze This ha led scientist politician and medium to 5695 char Study bolster case that climate change is driving many California wildfiresAgainst a backdrop of long term rise in temperature in recent decade California ha seen ever higher spike in seasonal wildfire and in the last two year a string of disastrous record setting blaze This ha led scientist politician and medium to,against a backdrop of long term rise in temperatur in recent decad california ha seen ever higher spike in season wildfir and in the last two year a string of disastr record set blaze thi ha led scientist politician and media to 5695 char studi bolster case that climat chang is drive mani california wildfiresagainst a backdrop of long term rise in temperatur in recent decad california ha seen ever higher spike in season wildfir and in the last two year a string of disastr record set blaze thi ha led scientist politician and media to,"['setting', 'blazes', 'long', 'politicians', 'temperature', 'string', 'seen', 'ever', 'higher', 'spikes', 'seasonal', 'wildfires', '…', 'last', 'two', 'years', '[+', '5695', 'chars', 'led', 'scientists', 'disastrous', 'recent', 'decades', 'driving', 'many', 'california', 'wildfiresagainst', 'record', 'media', 'backdrop', 'study', 'bolsters', 'case', 'term', 'rises', 'climate', 'change']",1
The New York Times,"Fighting fires including immense untamed wildfires requires a combination of brutal force, endurance and skill. From the air, firefighters may release water and fire retardant, which can slow its spread but will not extinguish the raging flames. The most effe… [+1409 chars]",The Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire departments across the state.,https://static01.nyt.com/images/2019/10/29/us/29fires-01/merlin_163465491_fb5b4c2d-21a4-4f7c-b47c-0fb4d1da1c0a-facebookJumbo.jpg,2019-10-29,The New York Times,California Fires Live Updates: Strong Winds May Expand Blazes,https://www.nytimes.com/2019/10/29/us/california-fires-kincade-getty.html,"Fighting fires including immense untamed wildfires requires a combination of brutal force, endurance and skill. From the air, firefighters may release water and fire retardant, which can slow its spread but will not extinguish the raging flames. The most effe… [+1409 chars]California Fires Live Updates: Strong Winds May Expand BlazesThe Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire departments across the state.","['Fighting', 'fires', 'including', 'immense', 'untamed', 'wildfires', 'requires', 'a', 'combination', 'of', 'brutal', 'force', 'endurance', 'and', 'skill', 'From', 'the', 'air', 'firefighters', 'may', 'release', 'water', 'and', 'fire', 'retardant', 'which', 'can', 'slow', 'its', 'spread', 'but', 'will', 'not', 'extinguish', 'the', 'raging', 'flames', 'The', 'most', 'effe', '1409', 'chars', 'California', 'Fires', 'Live', 'Updates', 'Strong', 'Winds', 'May', 'Expand', 'BlazesThe', 'Kincade', 'and', 'Getty', 'fires', 'are', 'part', 'of', 'a', 'vicious', 'wildfire', 'season', 'straining', 'the', 'resources', 'of', 'fire', 'departments', 'across', 'the', 'state']",Fighting fire including immense untamed wildfire requires a combination of brutal force endurance and skill From the air firefighter may release water and fire retardant which can slow it spread but will not extinguish the raging flame The most effe 1409 char California Fires Live Updates Strong Winds May Expand BlazesThe Kincade and Getty fire are part of a vicious wildfire season straining the resource of fire department across the state,fight fire includ immens untam wildfir requir a combin of brutal forc endur and skill from the air firefight may releas water and fire retard which can slow it spread but will not extinguish the rage flame the most eff 1409 char california fire live updat strong wind may expand blazesth kincad and getti fire are part of a viciou wildfir season strain the resourc of fire depart across the state,"['part', 'raging', 'flames', 'brutal', 'force', 'effe', '…', '[+', '1409', 'chars', 'fighting', 'fires', 'including', 'immense', 'untamed', 'wildfires', 'requires', 'vicious', 'wildfire', 'season', 'straining', 'skill', 'endurance', 'air', 'slow', 'extinguish', 'strong', 'winds', 'may', 'expand', 'blazesthe', 'kincade', 'fire', 'departments', 'across', 'retardant', 'resources', 'combination', 'state', 'spread', 'firefighters', 'release', 'water', 'getty', 'california', 'live', 'updates']",1
Jeff Tollefson,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]",Blackouts and blazes prompt university closures and uncertainty over when life can return to normal.,https://media.nature.com/lw1024/magazine-assets/d41586-019-03302-z/d41586-019-03302-z_17323808.jpg,2019-10-29,Nature.com,California scientists weather disruptions from wildfires and power outages,https://www.nature.com/articles/d41586-019-03302-z?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]California scientists weather disruptions from wildfires and power outagesBlackouts and blazes prompt university closures and uncertainty over when life can return to normal.","['Smoke', 'swirls', 'around', 'a', 'firefighter', 'helping', 'to', 'tackle', 'the', 'Kincade', 'wildfire', 'burning', 'in', 'northern', 'California', 'Credit', 'Stephen', 'Lam', 'REUTERS', 'Wildfires', 'whipped', 'up', 'by', 'hurricane', 'force', 'winds', 'have', 'led', 'to', 'evacuations', 'and', 'precautionary', 'power', 'outages', 'across', 'California', 'over', 't', '3084', 'chars', 'California', 'scientists', 'weather', 'disruptions', 'from', 'wildfires', 'and', 'power', 'outagesBlackouts', 'and', 'blazes', 'prompt', 'university', 'closures', 'and', 'uncertainty', 'over', 'when', 'life', 'can', 'return', 'to', 'normal']",Smoke swirl around a firefighter helping to tackle the Kincade wildfire burning in northern California Credit Stephen Lam REUTERS Wildfires whipped up by hurricane force wind have led to evacuation and precautionary power outage across California over t 3084 char California scientist weather disruption from wildfire and power outagesBlackouts and blaze prompt university closure and uncertainty over when life can return to normal,smoke swirl around a firefight help to tackl the kincad wildfir burn in northern california credit stephen lam reuter wildfir whip up by hurrican forc wind have led to evacu and precautionari power outag across california over t 3084 char california scientist weather disrupt from wildfir and power outagesblackout and blaze prompt univers closur and uncertainti over when life can return to normal,"['blazes', 'prompt', 'university', 'closures', 'normal', 'wildfires', 'california', 'scientists', 'weather', 'disruptions', 'kincade', 'wildfire', 'burning', 'led', 'stephen', 'lam', 'force', 'winds', 'smoke', 'swirls', 'around', 'power', 'outagesblackouts', 'uncertainty', 'reuters', 'whipped', 'credit', 'tackle', 'firefighter', 'helping', 'return', 'evacuations', 'northern', 'precautionary', 'outages', 'across', '…', '[+', '3084', 'chars', 'life', 'hurricane']",1
Jeff Tollefson,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]",Blackouts and blazes prompt university closures and uncertainty over when life can return to normal.,https://media.nature.com/lw1024/magazine-assets/d41586-019-03302-z/d41586-019-03302-z_17323808.jpg,2019-10-29,Nature.com,California scientists weather disruptions from wildfires and power outages,https://www.nature.com/articles/d41586-019-03302-z,"Smoke swirls around a firefighter helping to tackle the Kincade wildfire burning in northern California.Credit: Stephen Lam/REUTERS
Wildfires whipped up by hurricane-force winds have led to evacuations and precautionary power outages across California over t… [+3084 chars]California scientists weather disruptions from wildfires and power outagesBlackouts and blazes prompt university closures and uncertainty over when life can return to normal.","['Smoke', 'swirls', 'around', 'a', 'firefighter', 'helping', 'to', 'tackle', 'the', 'Kincade', 'wildfire', 'burning', 'in', 'northern', 'California', 'Credit', 'Stephen', 'Lam', 'REUTERS', 'Wildfires', 'whipped', 'up', 'by', 'hurricane', 'force', 'winds', 'have', 'led', 'to', 'evacuations', 'and', 'precautionary', 'power', 'outages', 'across', 'California', 'over', 't', '3084', 'chars', 'California', 'scientists', 'weather', 'disruptions', 'from', 'wildfires', 'and', 'power', 'outagesBlackouts', 'and', 'blazes', 'prompt', 'university', 'closures', 'and', 'uncertainty', 'over', 'when', 'life', 'can', 'return', 'to', 'normal']",Smoke swirl around a firefighter helping to tackle the Kincade wildfire burning in northern California Credit Stephen Lam REUTERS Wildfires whipped up by hurricane force wind have led to evacuation and precautionary power outage across California over t 3084 char California scientist weather disruption from wildfire and power outagesBlackouts and blaze prompt university closure and uncertainty over when life can return to normal,smoke swirl around a firefight help to tackl the kincad wildfir burn in northern california credit stephen lam reuter wildfir whip up by hurrican forc wind have led to evacu and precautionari power outag across california over t 3084 char california scientist weather disrupt from wildfir and power outagesblackout and blaze prompt univers closur and uncertainti over when life can return to normal,"['blazes', 'prompt', 'university', 'closures', 'normal', 'wildfires', 'california', 'scientists', 'weather', 'disruptions', 'kincade', 'wildfire', 'burning', 'led', 'stephen', 'lam', 'force', 'winds', 'smoke', 'swirls', 'around', 'power', 'outagesblackouts', 'uncertainty', 'reuters', 'whipped', 'credit', 'tackle', 'firefighter', 'helping', 'return', 'evacuations', 'northern', 'precautionary', 'outages', 'across', '…', '[+', '3084', 'chars', 'life', 'hurricane']",1
Al Jazeera,"California firefighters continue to battle blazes across the state, as weather conditions threaten to make the wildfires in some areas grow in their intensity in the coming days. 
Thousands of residents have already fled and hundreds of thousands of others w… [+3442 chars]","The state's governor had already declared a state of emergency, with fires burning on both ends of the state.",https://www.aljazeera.com/mritems/Images/2019/10/29/67b07988738b4e04bd11259cdacdfcab_18.jpg,2019-10-29,Al Jazeera English,Weather expected to worsen wildfires across California,https://www.aljazeera.com/news/2019/10/weather-expected-worsen-wildfires-california-191029152350315.html,"California firefighters continue to battle blazes across the state, as weather conditions threaten to make the wildfires in some areas grow in their intensity in the coming days. 
Thousands of residents have already fled and hundreds of thousands of others w… [+3442 chars]Weather expected to worsen wildfires across CaliforniaThe state's governor had already declared a state of emergency, with fires burning on both ends of the state.","['California', 'firefighters', 'continue', 'to', 'battle', 'blazes', 'across', 'the', 'state', 'as', 'weather', 'conditions', 'threaten', 'to', 'make', 'the', 'wildfires', 'in', 'some', 'areas', 'grow', 'in', 'their', 'intensity', 'in', 'the', 'coming', 'days', 'Thousands', 'of', 'residents', 'have', 'already', 'fled', 'and', 'hundreds', 'of', 'thousands', 'of', 'others', 'w', '3442', 'chars', 'Weather', 'expected', 'to', 'worsen', 'wildfires', 'across', 'CaliforniaThe', 'state', 's', 'governor', 'had', 'already', 'declared', 'a', 'state', 'of', 'emergency', 'with', 'fires', 'burning', 'on', 'both', 'ends', 'of', 'the', 'state']",California firefighter continue to battle blaze across the state a weather condition threaten to make the wildfire in some area grow in their intensity in the coming day Thousands of resident have already fled and hundred of thousand of others w 3442 char Weather expected to worsen wildfire across CaliforniaThe state s governor had already declared a state of emergency with fire burning on both end of the state,california firefight continu to battl blaze across the state as weather condit threaten to make the wildfir in some area grow in their intens in the come day thousand of resid have alreadi fled and hundr of thousand of other w 3442 char weather expect to worsen wildfir across californiath state s governor had alreadi declar a state of emerg with fire burn on both end of the state,"['hundreds', 'already', 'declared', 'battle', 'blazes', 'across', 'worsen', 'wildfires', 'californiathe', 'state', 'others', 'w', '…', '[+', '3442', 'chars', 'ends', 'coming', 'days', 'weather', 'conditions', 'threaten', 'intensity', 'fled', 'governor', 'make', 'emergency', 'thousands', 'residents', 'fires', 'burning', 'areas', 'grow', 'expected', 'california', 'firefighters', 'continue']",1
https://www.facebook.com/bbcnews,"Media captionWith wildfires occurring across the globe, here are some of the techniques used to stop them
Thousands of Los Angeles residents have been told to evacuate because of a fast-moving wildfire that began in the early hours of Monday morning.
The Ge… [+3451 chars]",Thousands of people flee their homes as a fast-moving fire threatens some of Los Angeles' wealthiest areas.,https://ichef.bbci.co.uk/images/ic/1024x576/p06gt559.jpg,2019-10-28,BBC News,California fires: New blazes erupt in Los Angeles,https://www.bbc.co.uk/news/world-us-canada-50212582,"Media captionWith wildfires occurring across the globe, here are some of the techniques used to stop them
Thousands of Los Angeles residents have been told to evacuate because of a fast-moving wildfire that began in the early hours of Monday morning.
The Ge… [+3451 chars]California fires: New blazes erupt in Los AngelesThousands of people flee their homes as a fast-moving fire threatens some of Los Angeles' wealthiest areas.","['Media', 'captionWith', 'wildfires', 'occurring', 'across', 'the', 'globe', 'here', 'are', 'some', 'of', 'the', 'techniques', 'used', 'to', 'stop', 'them', 'Thousands', 'of', 'Los', 'Angeles', 'residents', 'have', 'been', 'told', 'to', 'evacuate', 'because', 'of', 'a', 'fast', 'moving', 'wildfire', 'that', 'began', 'in', 'the', 'early', 'hours', 'of', 'Monday', 'morning', 'The', 'Ge', '3451', 'chars', 'California', 'fires', 'New', 'blazes', 'erupt', 'in', 'Los', 'AngelesThousands', 'of', 'people', 'flee', 'their', 'homes', 'as', 'a', 'fast', 'moving', 'fire', 'threatens', 'some', 'of', 'Los', 'Angeles', 'wealthiest', 'areas']",Media captionWith wildfire occurring across the globe here are some of the technique used to stop them Thousands of Los Angeles resident have been told to evacuate because of a fast moving wildfire that began in the early hour of Monday morning The Ge 3451 char California fire New blaze erupt in Los AngelesThousands of people flee their home a a fast moving fire threatens some of Los Angeles wealthiest area,media captionwith wildfir occur across the globe here are some of the techniqu use to stop them thousand of lo angel resid have been told to evacu becaus of a fast move wildfir that began in the earli hour of monday morn the Ge 3451 char california fire new blaze erupt in lo angelesthousand of peopl flee their home as a fast move fire threaten some of lo angel wealthiest area,"['ge', '…', '[+', '3451', 'chars', 'globe', 'los', 'angeles', 'residents', 'monday', 'morning', 'angelesthousands', 'moving', 'wildfire', 'new', 'blazes', 'erupt', 'fast', 'told', 'evacuate', 'stop', 'media', 'captionwith', 'wildfires', 'occurring', 'across', 'wealthiest', 'areas', 'thousands', 'early', 'hours', 'began', 'people', 'flee', 'fire', 'threatens', 'techniques', 'used', 'california', 'fires', 'homes']",1
STEFANIE DAZIO and BRIAN MELLEY,"LOS ANGELES (AP) Howling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gu… [+4778 chars]","Howling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gusts in years from…",https://s.yimg.com/ny/api/res/1.2/QNtZlVjovovMAN_TpAhLCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/D7G965UtuGmCf2e9g87o7g--~B/aD0zMTk4O3c9NDc5ODtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/6d997adf7772a16caba96a5459fe6c4c,2019-10-26,Yahoo.com,Firefighters race to control blazes before winds roar back,https://news.yahoo.com/firefighters-race-control-blazes-winds-224758321.html,"LOS ANGELES (AP) Howling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gu… [+4778 chars]Firefighters race to control blazes before winds roar backHowling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gusts in years from…","['LOS', 'ANGELES', 'AP', 'Howling', 'winds', 'that', 'fueled', 'destructive', 'wildfires', 'across', 'California', 'began', 'to', 'die', 'down', 'Friday', 'but', 'residents', 'in', 'the', 'northern', 'part', 'of', 'the', 'state', 'braced', 'for', 'another', 'round', 'of', 'power', 'outages', 'aimed', 'at', 'preventing', 'what', 'are', 'expected', 'to', 'be', 'the', 'strongest', 'gu', '4778', 'chars', 'Firefighters', 'race', 'to', 'control', 'blazes', 'before', 'winds', 'roar', 'backHowling', 'winds', 'that', 'fueled', 'destructive', 'wildfires', 'across', 'California', 'began', 'to', 'die', 'down', 'Friday', 'but', 'residents', 'in', 'the', 'northern', 'part', 'of', 'the', 'state', 'braced', 'for', 'another', 'round', 'of', 'power', 'outages', 'aimed', 'at', 'preventing', 'what', 'are', 'expected', 'to', 'be', 'the', 'strongest', 'gusts', 'in', 'years', 'from']",LOS ANGELES AP Howling wind that fueled destructive wildfire across California began to die down Friday but resident in the northern part of the state braced for another round of power outage aimed at preventing what are expected to be the strongest gu 4778 char Firefighters race to control blaze before wind roar backHowling wind that fueled destructive wildfire across California began to die down Friday but resident in the northern part of the state braced for another round of power outage aimed at preventing what are expected to be the strongest gust in year from,lo angel AP howl wind that fuel destruct wildfir across california began to die down friday but resid in the northern part of the state brace for anoth round of power outag aim at prevent what are expect to be the strongest gu 4778 char firefight race to control blaze befor wind roar backhowl wind that fuel destruct wildfir across california began to die down friday but resid in the northern part of the state brace for anoth round of power outag aim at prevent what are expect to be the strongest gust in year from,"['strongest', 'gusts', 'die', 'howling', 'winds', 'control', 'blazes', 'state', 'braced', 'gu', '…', '[+', '4778', 'chars', 'ap', 'preventing', 'power', 'outages', 'aimed', 'another', 'round', 'residents', 'fueled', 'destructive', 'wildfires', 'across', 'california', 'began', 'roar', 'backhowling', 'firefighters', 'race', 'northern', 'part', 'friday', 'years', 'los', 'angeles', 'expected']",1
Associated Press,"SAN FRANCISCO (AP) Pacific Gas &amp; Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area.
The fires described in PG&amp;E reports to state regulators match blazes that destroyed a tennis club… [+1002 chars]",Pacific Gas & Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area. The fires described in PG&E reports to state regulators match blazes that destroyed a tennis club and forced urgent evacuatio…,https://s.yimg.com/ny/api/res/1.2/WyNHIFxTcrPlLiWC1C6BGg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/K8qHT6C_jy.ntEhbrwgPWQ--~B/aD0xMzUwO3c9MjAyNTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/f84961b6b8afafba249444a817da6ec3,2019-10-28,Yahoo.com,Utility says power lines may have started 2 California fires,https://news.yahoo.com/utility-says-power-lines-may-182508140.html,"SAN FRANCISCO (AP) Pacific Gas &amp; Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area.
The fires described in PG&amp;E reports to state regulators match blazes that destroyed a tennis club… [+1002 chars]Utility says power lines may have started 2 California firesPacific Gas & Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area. The fires described in PG&E reports to state regulators match blazes that destroyed a tennis club and forced urgent evacuatio…","['SAN', 'FRANCISCO', 'AP', 'Pacific', 'Gas', 'amp', 'Electric', 'Co', 'said', 'Monday', 'its', 'power', 'lines', 'may', 'have', 'started', 'two', 'wildfires', 'over', 'the', 'weekend', 'in', 'the', 'San', 'Francisco', 'Bay', 'Area', 'The', 'fires', 'described', 'in', 'PG', 'amp', 'E', 'reports', 'to', 'state', 'regulators', 'match', 'blazes', 'that', 'destroyed', 'a', 'tennis', 'club', '1002', 'chars', 'Utility', 'says', 'power', 'lines', 'may', 'have', 'started', '2', 'California', 'firesPacific', 'Gas', 'Electric', 'Co', 'said', 'Monday', 'its', 'power', 'lines', 'may', 'have', 'started', 'two', 'wildfires', 'over', 'the', 'weekend', 'in', 'the', 'San', 'Francisco', 'Bay', 'Area', 'The', 'fires', 'described', 'in', 'PG', 'E', 'reports', 'to', 'state', 'regulators', 'match', 'blazes', 'that', 'destroyed', 'a', 'tennis', 'club', 'and', 'forced', 'urgent', 'evacuatio']",SAN FRANCISCO AP Pacific Gas amp Electric Co said Monday it power line may have started two wildfire over the weekend in the San Francisco Bay Area The fire described in PG amp E report to state regulator match blaze that destroyed a tennis club 1002 char Utility say power line may have started 2 California firesPacific Gas Electric Co said Monday it power line may have started two wildfire over the weekend in the San Francisco Bay Area The fire described in PG E report to state regulator match blaze that destroyed a tennis club and forced urgent evacuatio,san francisco AP pacif ga amp electr Co said monday it power line may have start two wildfir over the weekend in the san francisco bay area the fire describ in PG amp E report to state regul match blaze that destroy a tenni club 1002 char util say power line may have start 2 california firespacif ga electr Co said monday it power line may have start two wildfir over the weekend in the san francisco bay area the fire describ in PG E report to state regul match blaze that destroy a tenni club and forc urgent evacuatio,"['san', 'francisco', 'started', '2', 'california', 'firespacific', 'gas', 'said', 'monday', 'utility', 'says', 'power', 'lines', 'may', 'state', 'regulators', 'match', 'blazes', 'e', 'reports', 'forced', 'urgent', 'evacuatio', '…', 'ap', 'pg', 'amp', 'tennis', 'club', 'pacific', 'destroyed', '[+', '1002', 'chars', 'electric', 'co', 'two', 'wildfires', 'fires', 'described', 'weekend', 'bay', 'area']",1
Al Jazeera,"The governor of the US state of California has declared a state of emergency because of raging wildfires.
High winds and extremely low humidity have hindered efforts to contain blazes burning in the northern and southern part of the state.
The Kincade fire … [+1514 chars]",Wildfires continue to tear through southern and northern parts of the western US state.,https://www.aljazeera.com/mritems/Images/2019/10/28/a002679500ad44408c6e8f738f5f3ebc_18.jpg,2019-10-28,Al Jazeera English,California declares state of emergency as fires rage,https://www.aljazeera.com/news/2019/10/california-declares-state-emergency-fires-blaze-191028085922540.html,"The governor of the US state of California has declared a state of emergency because of raging wildfires.
High winds and extremely low humidity have hindered efforts to contain blazes burning in the northern and southern part of the state.
The Kincade fire … [+1514 chars]California declares state of emergency as fires rageWildfires continue to tear through southern and northern parts of the western US state.","['The', 'governor', 'of', 'the', 'US', 'state', 'of', 'California', 'has', 'declared', 'a', 'state', 'of', 'emergency', 'because', 'of', 'raging', 'wildfires', 'High', 'winds', 'and', 'extremely', 'low', 'humidity', 'have', 'hindered', 'efforts', 'to', 'contain', 'blazes', 'burning', 'in', 'the', 'northern', 'and', 'southern', 'part', 'of', 'the', 'state', 'The', 'Kincade', 'fire', '1514', 'chars', 'California', 'declares', 'state', 'of', 'emergency', 'as', 'fires', 'rageWildfires', 'continue', 'to', 'tear', 'through', 'southern', 'and', 'northern', 'parts', 'of', 'the', 'western', 'US', 'state']",The governor of the US state of California ha declared a state of emergency because of raging wildfire High wind and extremely low humidity have hindered effort to contain blaze burning in the northern and southern part of the state The Kincade fire 1514 char California declares state of emergency a fire rageWildfires continue to tear through southern and northern part of the western US state,the governor of the US state of california ha declar a state of emerg becaus of rage wildfir high wind and extrem low humid have hinder effort to contain blaze burn in the northern and southern part of the state the kincad fire 1514 char california declar state of emerg as fire ragewildfir continu to tear through southern and northern part of the western US state,"['northern', 'southern', 'western', 'us', 'state', 'extremely', 'low', 'humidity', 'high', 'winds', 'kincade', 'fire', '…', '[+', '1514', 'chars', 'parts', 'tear', 'governor', 'emergency', 'raging', 'wildfires', 'part', 'fires', 'ragewildfires', 'continue', 'hindered', 'efforts', 'california', 'declares', 'declared', 'contain', 'blazes', 'burning']",1
